Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Saudi Arabia,2400 ,1700 , 3500,"Children estimates were not available at the time of publication.",2900 ,2100 , 4100,"Children estimates were not available at the time of publication.",3500 ,2600 , 4700,"Children estimates were not available at the time of publication.",4100 ,3100 , 5300,"Children estimates were not available at the time of publication.",4700 ,3700 , 6000,"Children estimates were not available at the time of publication.",5300 ,4300 , 6600,"Children estimates were not available at the time of publication.",6000 ,5000 , 7300,"Children estimates were not available at the time of publication.",6700 ,5700 , 7800,"Children estimates were not available at the time of publication.",7300 ,6300 , 8300,"Children estimates were not available at the time of publication.",7700 ,6800 , 8700,"Children estimates were not available at the time of publication.",8100 ,7400 , 9000,"Children estimates were not available at the time of publication.",8400 ,7800 , 9200,"Children estimates were not available at the time of publication.",8600 ,7900 , 9300,"Children estimates were not available at the time of publication.",8600 ,7900 , 9300,"Children estimates were not available at the time of publication.",8600 ,7800 , 9200,"Children estimates were not available at the time of publication.",8500 ,7700 , 9200,"Children estimates were not available at the time of publication.",8400 ,7500 , 9000,"Children estimates were not available at the time of publication.",8200 ,7400 , 9000,"Children estimates were not available at the time of publication.",8100 ,7200 , 8800,"Children estimates were not available at the time of publication.",7900 ,7100 , 8700,"Children estimates were not available at the time of publication.",7800 ,7000 , 8600,"Children estimates were not available at the time of publication.",7600 ,6900 , 8400,"Children estimates were not available at the time of publication.",7500 ,6800 , 8200,"Children estimates were not available at the time of publication.",7400 ,6600 , 8100,"Children estimates were not available at the time of publication.",7300 ,6600 , 8000,"Children estimates were not available at the time of publication.",7400 ,6700 , 8100,"Children estimates were not available at the time of publication.",7500 ,6800 , 8100,"Children estimates were not available at the time of publication.",7700 ,7000 , 8300,"Children estimates were not available at the time of publication.",8000 ,7300 , 8600,"Children estimates were not available at the time of publication.",8400 ,7800 , 9100,"Children estimates were not available at the time of publication.",8900 ,8300 , 9700,"Children estimates were not available at the time of publication.",9600 ,9000 , 10 000,"Children estimates were not available at the time of publication.",11 000 ,9900 , 11 000,"Children estimates were not available at the time of publication.",12 000 ,11 000 , 13 000,"Children estimates were not available at the time of publication.",13 000 ,12 000 , 15 000,"Children estimates were not available at the time of publication."
Senegal,5900 ,5600 , 6500,,7500 ,7100 , 8200,,9500 ,9100 , 10 000,,12 000 ,11 000 , 13 000,,15 000 ,14 000 , 16 000,,18 000 ,17 000 , 19 000,,21 000 ,20 000 , 23 000,,25 000 ,24 000 , 28 000,,30 000 ,28 000 , 32 000,,34 000 ,33 000 , 37 000,,38 000 ,36 000 , 41 000,,41 000 ,39 000 , 44 000,,43 000 ,41 000 , 46 000,,44 000 ,42 000 , 47 000,,44 000 ,42 000 , 47 000,,43 000 ,42 000 , 47 000,,43 000 ,41 000 , 46 000,,42 000 ,41 000 , 45 000,,42 000 ,41 000 , 45 000,,42 000 ,41 000 , 45 000,,42 000 ,41 000 , 45 000,,42 000 ,41 000 , 45 000,,42 000 ,41 000 , 44 000,,41 000 ,40 000 , 44 000,,41 000 ,40 000 , 43 000,,40 000 ,39 000 , 43 000,,40 000 ,39 000 , 43 000,,40 000 ,39 000 , 42 000,,40 000 ,39 000 , 43 000,,41 000 ,39 000 , 43 000,,41 000 ,40 000 , 44 000,,42 000 ,41 000 , 45 000,,44 000 ,43 000 , 47 000,,46 000 ,44 000 , 49 000,,48 000 ,46 000 , 51 000,
Serbia,690 ,520 , 900,"Children estimates were not available at the time of publication.",770 ,600 , 1000,"Children estimates were not available at the time of publication.",840 ,650 , 1100,"Children estimates were not available at the time of publication.",900 ,700 , 1100,"Children estimates were not available at the time of publication.",940 ,740 , 1200,"Children estimates were not available at the time of publication.",970 ,780 , 1200,"Children estimates were not available at the time of publication.",1000 ,810 , 1200,"Children estimates were not available at the time of publication.",1000 ,830 , 1200,"Children estimates were not available at the time of publication.",1000 ,850 , 1200,"Children estimates were not available at the time of publication.",1000 ,860 , 1200,"Children estimates were not available at the time of publication.",1100 ,880 , 1300,"Children estimates were not available at the time of publication.",1100 ,890 , 1300,"Children estimates were not available at the time of publication.",1100 ,920 , 1300,"Children estimates were not available at the time of publication.",1200 ,990 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1700 ,1400 , 1900,"Children estimates were not available at the time of publication.",1800 ,1500 , 2100,"Children estimates were not available at the time of publication.",1900 ,1600 , 2200,"Children estimates were not available at the time of publication.",2100 ,1700 , 2400,"Children estimates were not available at the time of publication.",2200 ,1800 , 2500,"Children estimates were not available at the time of publication.",2400 ,1900 , 2700,"Children estimates were not available at the time of publication.",2500 ,2000 , 2800,"Children estimates were not available at the time of publication.",2700 ,2200 , 3000,"Children estimates were not available at the time of publication.",2800 ,2300 , 3200,"Children estimates were not available at the time of publication.",3000 ,2400 , 3400,"Children estimates were not available at the time of publication.",3100 ,2500 , 3500,"Children estimates were not available at the time of publication.",3200 ,2600 , 3700,"Children estimates were not available at the time of publication.",3400 ,2800 , 3900,"Children estimates were not available at the time of publication.",3500 ,2900 , 4000,"Children estimates were not available at the time of publication.",3600 ,3000 , 4200,"Children estimates were not available at the time of publication.",3800 ,3200 , 4400,"Children estimates were not available at the time of publication.",4000 ,3300 , 4600,"Children estimates were not available at the time of publication.",4100 ,3400 , 4700,"Children estimates were not available at the time of publication."
Sierra Leone,15 000 ,7700 , 24 000,,17 000 ,9500 , 27 000,,20 000 ,11 000 , 30 000,,24 000 ,14 000 , 34 000,,27 000 ,17 000 , 38 000,,30 000 ,20 000 , 41 000,,33 000 ,24 000 , 46 000,,37 000 ,26 000 , 48 000,,39 000 ,29 000 , 50 000,,41 000 ,32 000 , 52 000,,44 000 ,35 000 , 55 000,,49 000 ,40 000 , 60 000,,52 000 ,43 000 , 63 000,,54 000 ,46 000 , 66 000,,56 000 ,48 000 , 68 000,,58 000 ,50 000 , 69 000,,59 000 ,51 000 , 69 000,,60 000 ,52 000 , 70 000,,61 000 ,53 000 , 71 000,,63 000 ,55 000 , 72 000,,64 000 ,56 000 , 74 000,,66 000 ,58 000 , 76 000,,67 000 ,59 000 , 77 000,,68 000 ,60 000 , 78 000,,70 000 ,61 000 , 79 000,,71 000 ,63 000 , 81 000,,73 000 ,65 000 , 83 000,,75 000 ,66 000 , 85 000,,76 000 ,67 000 , 87 000,,78 000 ,67 000 , 89 000,,79 000 ,68 000 , 91 000,,80 000 ,69 000 , 93 000,,81 000 ,68 000 , 94 000,,81 000 ,68 000 , 96 000,,81 000 ,68 000 , 97 000,
Singapore,<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 530,"Children estimates were not available at the time of publication.",560 ,<500 , 630,"Children estimates were not available at the time of publication.",680 ,600 , 760,"Children estimates were not available at the time of publication.",810 ,720 , 910,"Children estimates were not available at the time of publication.",960 ,860 , 1100,"Children estimates were not available at the time of publication.",1100 ,1000 , 1300,"Children estimates were not available at the time of publication.",1300 ,1200 , 1500,"Children estimates were not available at the time of publication.",1500 ,1400 , 1700,"Children estimates were not available at the time of publication.",1800 ,1600 , 1900,"Children estimates were not available at the time of publication.",2000 ,1800 , 2200,"Children estimates were not available at the time of publication.",2300 ,2000 , 2500,"Children estimates were not available at the time of publication.",2600 ,2200 , 2800,"Children estimates were not available at the time of publication.",2900 ,2500 , 3100,"Children estimates were not available at the time of publication.",3200 ,2800 , 3500,"Children estimates were not available at the time of publication.",3600 ,3200 , 4000,"Children estimates were not available at the time of publication.",4000 ,3500 , 4500,"Children estimates were not available at the time of publication.",4500 ,3800 , 5000,"Children estimates were not available at the time of publication.",4900 ,4200 , 5500,"Children estimates were not available at the time of publication.",5300 ,4500 , 6000,"Children estimates were not available at the time of publication.",5700 ,4800 , 6500,"Children estimates were not available at the time of publication.",6100 ,5100 , 6900,"Children estimates were not available at the time of publication.",6500 ,5400 , 7400,"Children estimates were not available at the time of publication.",6800 ,5600 , 7800,"Children estimates were not available at the time of publication.",7100 ,5800 , 8100,"Children estimates were not available at the time of publication.",7300 ,6000 , 8400,"Children estimates were not available at the time of publication.",7500 ,6200 , 8700,"Children estimates were not available at the time of publication.",7600 ,6300 , 8900,"Children estimates were not available at the time of publication.",7700 ,6400 , 9000,"Children estimates were not available at the time of publication.",7800 ,6400 , 9100,"Children estimates were not available at the time of publication.",7900 ,6400 , 9300,"Children estimates were not available at the time of publication."
Slovakia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 540,"Children estimates were not available at the time of publication.",500 ,<500 , 600,"Children estimates were not available at the time of publication.",570 ,<500 , 680,"Children estimates were not available at the time of publication.",640 ,520 , 760,"Children estimates were not available at the time of publication.",720 ,580 , 860,"Children estimates were not available at the time of publication.",800 ,650 , 950,"Children estimates were not available at the time of publication.",900 ,730 , 1000,"Children estimates were not available at the time of publication.",990 ,810 , 1100,"Children estimates were not available at the time of publication.",1100 ,880 , 1300,"Children estimates were not available at the time of publication.",1200 ,970 , 1400,"Children estimates were not available at the time of publication.",1300 ,1000 , 1500,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1700 ,1400 , 1900,"Children estimates were not available at the time of publication.",1800 ,1500 , 2000,"Children estimates were not available at the time of publication."
Slovenia,<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 520,"Children estimates were not available at the time of publication.",<500 ,<500 , 570,"Children estimates were not available at the time of publication.",510 ,<500 , 620,"Children estimates were not available at the time of publication.",550 ,<500 , 660,"Children estimates were not available at the time of publication.",600 ,<500 , 710,"Children estimates were not available at the time of publication.",640 ,510 , 760,"Children estimates were not available at the time of publication.",680 ,550 , 810,"Children estimates were not available at the time of publication.",720 ,580 , 860,"Children estimates were not available at the time of publication.",760 ,610 , 900,"Children estimates were not available at the time of publication.",800 ,640 , 940,"Children estimates were not available at the time of publication.",840 ,660 , 980,"Children estimates were not available at the time of publication.",880 ,690 , 1000,"Children estimates were not available at the time of publication.",910 ,720 , 1100,"Children estimates were not available at the time of publication.",940 ,750 , 1100,"Children estimates were not available at the time of publication.",970 ,770 , 1100,"Children estimates were not available at the time of publication."
Solomon Islands,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Somalia,8400 ,3900 , 16 000,,8800 ,4500 , 17 000,,9500 ,5200 , 18 000,,11 000 ,6200 , 19 000,,11 000 ,6900 , 20 000,,12 000 ,7600 , 20 000,,13 000 ,8100 , 20 000,,13 000 ,8800 , 20 000,,14 000 ,9100 , 20 000,,14 000 ,9600 , 20 000,,14 000 ,9800 , 20 000,,14 000 ,10 000 , 20 000,,14 000 ,10 000 , 19 000,,13 000 ,10 000 , 19 000,,13 000 ,10 000 , 18 000,,13 000 ,10 000 , 17 000,,12 000 ,9800 , 16 000,,12 000 ,9700 , 16 000,,12 000 ,9300 , 15 000,,11 000 ,9000 , 14 000,,11 000 ,8900 , 13 000,,10 000 ,8600 , 12 000,,9800 ,8400 , 12 000,,9600 ,8200 , 11 000,,9300 ,8100 , 11 000,,9100 ,8100 , 10 000,,9000 ,8000 , 10 000,,8900 ,7900 , 10 000,,8700 ,7800 , 9900,,8600 ,7700 , 9700,,8500 ,7600 , 9600,,8400 ,7400 , 9500,,8300 ,7300 , 9300,,8200 ,7200 , 9200,,8100 ,7200 , 9200,
South Africa,280 000 ,250 000 , 310 000,,450 000 ,400 000 , 500 000,,680 000 ,610 000 , 750 000,,970 000 ,870 000 , 1 100 000,,1 300 000 ,1 200 000 , 1 500 000,,1 700 000 ,1 500 000 , 1 900 000,,2 100 000 ,1 900 000 , 2 300 000,,2 500 000 ,2 300 000 , 2 800 000,,2 900 000 ,2 600 000 , 3 200 000,,3 300 000 ,3 000 000 , 3 600 000,,3 600 000 ,3 300 000 , 4 000 000,,3 900 000 ,3 500 000 , 4 300 000,,4 200 000 ,3 800 000 , 4 600 000,,4 400 000 ,4 000 000 , 4 800 000,,4 600 000 ,4 200 000 , 5 000 000,,4 800 000 ,4 300 000 , 5 200 000,,4 900 000 ,4 500 000 , 5 400 000,,5 100 000 ,4 700 000 , 5 600 000,,5 300 000 ,4 800 000 , 5 800 000,,5 500 000 ,5 000 000 , 6 000 000,,5 700 000 ,5 200 000 , 6 100 000,,5 900 000 ,5 400 000 , 6 300 000,,6 100 000 ,5 600 000 , 6 600 000,,6 300 000 ,5 800 000 , 6 800 000,,6 500 000 ,6 000 000 , 7 000 000,,6 700 000 ,6 100 000 , 7 200 000,,6 900 000 ,6 300 000 , 7 400 000,,7 000 000 ,6 500 000 , 7 600 000,,7 200 000 ,6 600 000 , 7 800 000,,7 300 000 ,6 700 000 , 8 000 000,,7 400 000 ,6 800 000 , 8 100 000,,7 500 000 ,6 900 000 , 8 200 000,,7 600 000 ,7 000 000 , 8 300 000,,7 700 000 ,7 100 000 , 8 400 000,,7 800 000 ,7 200 000 , 8 500 000,
South Sudan,27 000 ,11 000 , 49 000,,34 000 ,15 000 , 57 000,,42 000 ,20 000 , 66 000,,50 000 ,25 000 , 73 000,,60 000 ,32 000 , 86 000,,69 000 ,38 000 , 96 000,,77 000 ,44 000 , 110 000,,85 000 ,49 000 , 120 000,,92 000 ,55 000 , 120 000,,100 000 ,60 000 , 130 000,,110 000 ,66 000 , 140 000,,110 000 ,73 000 , 150 000,,120 000 ,81 000 , 160 000,,130 000 ,88 000 , 170 000,,130 000 ,96 000 , 180 000,,140 000 ,100 000 , 180 000,,140 000 ,110 000 , 190 000,,150 000 ,110 000 , 200 000,,150 000 ,120 000 , 200 000,,160 000 ,120 000 , 200 000,,160 000 ,130 000 , 210 000,,170 000 ,130 000 , 220 000,,170 000 ,140 000 , 220 000,,170 000 ,140 000 , 220 000,,170 000 ,130 000 , 210 000,,160 000 ,130 000 , 200 000,,150 000 ,120 000 , 190 000,,140 000 ,110 000 , 170 000,,140 000 ,120 000 , 170 000,,140 000 ,120 000 , 170 000,,150 000 ,120 000 , 180 000,,140 000 ,120 000 , 170 000,,150 000 ,120 000 , 180 000,,150 000 ,130 000 , 180 000,,150 000 ,130 000 , 180 000,
Spain,75 000 ,62 000 , 85 000,,86 000 ,72 000 , 97 000,,94 000 ,79 000 , 110 000,,100 000 ,84 000 , 110 000,,100 000 ,87 000 , 110 000,,100 000 ,89 000 , 120 000,,110 000 ,89 000 , 120 000,,110 000 ,91 000 , 120 000,,110 000 ,92 000 , 120 000,,110 000 ,94 000 , 120 000,,110 000 ,96 000 , 120 000,,110 000 ,98 000 , 120 000,,110 000 ,100 000 , 120 000,,120 000 ,100 000 , 130 000,,120 000 ,110 000 , 130 000,,120 000 ,110 000 , 130 000,,130 000 ,110 000 , 140 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 150 000,,140 000 ,120 000 , 150 000,,140 000 ,120 000 , 150 000,,140 000 ,120 000 , 150 000,,140 000 ,120 000 , 150 000,,140 000 ,120 000 , 150 000,,140 000 ,120 000 , 160 000,,140 000 ,120 000 , 160 000,,150 000 ,130 000 , 160 000,,150 000 ,130 000 , 160 000,,150 000 ,130 000 , 170 000,,150 000 ,130 000 , 170 000,,150 000 ,130 000 , 170 000,,160 000 ,130 000 , 180 000,,160 000 ,130 000 , 180 000,,160 000 ,130 000 , 180 000,
Sri Lanka,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 540,"Children estimates were not available at the time of publication.",710 ,600 , 810,"Children estimates were not available at the time of publication.",1000 ,850 , 1200,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1700 ,1500 , 2000,"Children estimates were not available at the time of publication.",2200 ,1800 , 2500,"Children estimates were not available at the time of publication.",2500 ,2200 , 2900,"Children estimates were not available at the time of publication.",2900 ,2500 , 3300,"Children estimates were not available at the time of publication.",3200 ,2700 , 3700,"Children estimates were not available at the time of publication.",3500 ,3000 , 4000,"Children estimates were not available at the time of publication.",3700 ,3200 , 4200,"Children estimates were not available at the time of publication.",3900 ,3400 , 4400,"Children estimates were not available at the time of publication.",4000 ,3500 , 4600,"Children estimates were not available at the time of publication.",4100 ,3500 , 4700,"Children estimates were not available at the time of publication.",4100 ,3600 , 4700,"Children estimates were not available at the time of publication.",4100 ,3500 , 4600,"Children estimates were not available at the time of publication.",4000 ,3500 , 4600,"Children estimates were not available at the time of publication.",3900 ,3500 , 4500,"Children estimates were not available at the time of publication.",3900 ,3500 , 4400,"Children estimates were not available at the time of publication.",3900 ,3400 , 4400,"Children estimates were not available at the time of publication.",3900 ,3500 , 4400,"Children estimates were not available at the time of publication.",3900 ,3500 , 4500,"Children estimates were not available at the time of publication.",4000 ,3600 , 4600,"Children estimates were not available at the time of publication.",4100 ,3700 , 4700,"Children estimates were not available at the time of publication.",4300 ,3800 , 4800,"Children estimates were not available at the time of publication.",4500 ,4000 , 5000,"Children estimates were not available at the time of publication.",4700 ,4200 , 5200,"Children estimates were not available at the time of publication.",4900 ,4300 , 5500,"Children estimates were not available at the time of publication.",5100 ,4500 , 5800,"Children estimates were not available at the time of publication.",5400 ,4700 , 6100,"Children estimates were not available at the time of publication.",5700 ,4900 , 6500,"Children estimates were not available at the time of publication."
Sudan,5800 ,3600 , 11 000,,6900 ,4300 , 12 000,,8200 ,5200 , 14 000,,9400 ,6200 , 16 000,,11 000 ,7200 , 17 000,,12 000 ,8200 , 19 000,,13 000 ,9100 , 20 000,,14 000 ,10 000 , 21 000,,15 000 ,11 000 , 23 000,,17 000 ,12 000 , 24 000,,18 000 ,13 000 , 25 000,,19 000 ,14 000 , 26 000,,20 000 ,15 000 , 26 000,,20 000 ,16 000 , 27 000,,21 000 ,16 000 , 28 000,,22 000 ,17 000 , 29 000,,23 000 ,18 000 , 29 000,,23 000 ,19 000 , 30 000,,24 000 ,19 000 , 31 000,,25 000 ,20 000 , 32 000,,26 000 ,21 000 , 33 000,,27 000 ,21 000 , 35 000,,28 000 ,22 000 , 36 000,,29 000 ,23 000 , 37 000,,30 000 ,24 000 , 39 000,,32 000 ,25 000 , 41 000,,33 000 ,26 000 , 43 000,,35 000 ,28 000 , 46 000,,37 000 ,29 000 , 49 000,,39 000 ,30 000 , 53 000,,41 000 ,32 000 , 57 000,,44 000 ,34 000 , 61 000,,48 000 ,36 000 , 67 000,,50 000 ,38 000 , 72 000,,54 000 ,40 000 , 79 000,
Suriname,840 ,<500 , 1200,,980 ,620 , 1300,,1200 ,790 , 1500,,1300 ,960 , 1800,,1600 ,1200 , 2000,,1800 ,1400 , 2400,,2100 ,1700 , 2700,,2500 ,2000 , 3000,,2800 ,2300 , 3400,,3200 ,2600 , 3800,,3500 ,3000 , 4100,,3900 ,3300 , 4400,,4200 ,3600 , 4700,,4400 ,3900 , 5000,,4700 ,4100 , 5300,,4800 ,4300 , 5400,,5000 ,4500 , 5600,,5200 ,4600 , 5800,,5300 ,4800 , 5900,,5500 ,5000 , 6100,,5700 ,5100 , 6300,,5800 ,5300 , 6500,,6000 ,5400 , 6700,,6200 ,5600 , 6900,,6300 ,5800 , 7000,,6500 ,5900 , 7200,,6600 ,6000 , 7400,,6800 ,6100 , 7600,,6900 ,6200 , 7800,,7100 ,6400 , 7900,,7300 ,6600 , 8100,,7400 ,6700 , 8300,,7600 ,6800 , 8400,,7700 ,6900 , 8600,,7900 ,7000 , 8800,
