Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Mali,21 ,19 , 26,,25 ,22 , 31,,25 ,22 , 30,,25 ,22 , 30,,27 ,24 , 33,,30 ,27 , 37,,33 ,29 , 41,,36 ,31 , 44,,40 ,35 , 49,,39 ,34 , 48,,47 ,41 , 58,,47 ,41 , 59,,54 ,46 , 66,,62 ,53 , 77,,68 ,59 , 85,
Malta,33 ,27 , 38,"Children estimates were not available at the time of publication.",34 ,28 , 40,"Children estimates were not available at the time of publication.",39 ,32 , 45,"Children estimates were not available at the time of publication.",41 ,34 , 48,"Children estimates were not available at the time of publication.",44 ,37 , 51,"Children estimates were not available at the time of publication.",48 ,40 , 55,"Children estimates were not available at the time of publication.",49 ,41 , 56,"Children estimates were not available at the time of publication.",51 ,43 , 59,"Children estimates were not available at the time of publication.",58 ,49 , 68,"Children estimates were not available at the time of publication.",62 ,52 , 72,"Children estimates were not available at the time of publication.",65 ,55 , 76,"Children estimates were not available at the time of publication.",64 ,53 , 75,"Children estimates were not available at the time of publication.",63 ,53 , 75,"Children estimates were not available at the time of publication.",68 ,57 , 80,"Children estimates were not available at the time of publication.",69 ,57 , 81,"Children estimates were not available at the time of publication."
Mauritania,17 ,15 , 20,,19 ,16 , 22,,21 ,18 , 24,,26 ,22 , 30,,28 ,24 , 34,,33 ,28 , 39,,36 ,31 , 43,,44 ,37 , 52,,45 ,39 , 55,,51 ,44 , 61,,54 ,47 , 65,,59 ,51 , 71,,62 ,53 , 74,,70 ,60 , 84,,76 ,65 , 91,
Mauritius,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Mexico,31 ,28 , 33,,32 ,29 , 34,,36 ,33 , 38,,36 ,33 , 38,,37 ,34 , 40,,43 ,40 , 46,,46 ,42 , 49,,47 ,43 , 50,,53 ,48 , 56,,53 ,49 , 57,,59 ,53 , 64,,62 ,56 , 67,,62 ,56 , 68,,63 ,57 , 70,,65 ,58 , 72,
Mongolia,6 ,6 , 7,"Children estimates were not available at the time of publication.",9 ,8 , 10,"Children estimates were not available at the time of publication.",12 ,11 , 13,"Children estimates were not available at the time of publication.",20 ,18 , 22,"Children estimates were not available at the time of publication.",25 ,23 , 28,"Children estimates were not available at the time of publication.",28 ,25 , 32,"Children estimates were not available at the time of publication.",29 ,26 , 32,"Children estimates were not available at the time of publication.",33 ,29 , 36,"Children estimates were not available at the time of publication.",34 ,30 , 38,"Children estimates were not available at the time of publication.",33 ,30 , 37,"Children estimates were not available at the time of publication.",36 ,32 , 40,"Children estimates were not available at the time of publication.",38 ,33 , 42,"Children estimates were not available at the time of publication.",39 ,35 , 44,"Children estimates were not available at the time of publication.",39 ,35 , 44,"Children estimates were not available at the time of publication.",41 ,36 , 45,"Children estimates were not available at the time of publication."
Montenegro,28 ,24 , 33,"Children estimates were not available at the time of publication.",27 ,23 , 32,"Children estimates were not available at the time of publication.",28 ,24 , 33,"Children estimates were not available at the time of publication.",31 ,26 , 35,"Children estimates were not available at the time of publication.",34 ,28 , 39,"Children estimates were not available at the time of publication.",34 ,29 , 40,"Children estimates were not available at the time of publication.",40 ,34 , 47,"Children estimates were not available at the time of publication.",45 ,38 , 53,"Children estimates were not available at the time of publication.",49 ,40 , 57,"Children estimates were not available at the time of publication.",52 ,43 , 61,"Children estimates were not available at the time of publication.",52 ,43 , 63,"Children estimates were not available at the time of publication.",52 ,43 , 63,"Children estimates were not available at the time of publication.",53 ,43 , 65,"Children estimates were not available at the time of publication.",58 ,48 , 72,"Children estimates were not available at the time of publication.",61 ,50 , 76,"Children estimates were not available at the time of publication."
Morocco,16 ,14 , 18,,19 ,18 , 22,,25 ,22 , 27,,29 ,27 , 33,,33 ,31 , 37,,37 ,34 , 41,,41 ,38 , 45,,44 ,41 , 49,,48 ,44 , 53,,51 ,47 , 57,,54 ,50 , 60,,68 ,63 , 76,,70 ,64 , 78,,73 ,66 , 82,,76 ,69 , 85,
Mozambique,14 ,13 , 15,,16 ,15 , 18,,18 ,17 , 19,,26 ,25 , 28,,34 ,32 , 36,,41 ,39 , 44,,48 ,46 , 52,,55 ,52 , 58,,56 ,52 , 59,,60 ,56 , 64,,61 ,58 , 66,,67 ,63 , 72,,72 ,68 , 78,,77 ,72 , 84,,82 ,76 , 89,
Myanmar,12 ,11 , 13,,16 ,14 , 18,,21 ,19 , 24,,26 ,23 , 29,,33 ,29 , 36,,40 ,35 , 45,,47 ,41 , 54,,54 ,46 , 62,,61 ,51 , 70,,67 ,55 , 77,,71 ,58 , 84,,71 ,57 , 85,,73 ,57 , 90,,75 ,58 , 94,,75 ,56 , 96,
Namibia,41 ,38 , 44,,48 ,45 , 52,,52 ,49 , 57,,56 ,52 , 61,,54 ,51 , 59,,61 ,57 , 67,,61 ,57 , 67,,69 ,64 , 76,,73 ,68 , 81,,81 ,75 , 89,,83 ,76 , 92,,86 ,79 , 96,,88 ,81 , >98,,92 ,84 , >98,,95 ,87 , >98,
Nepal,12 ,11 , 13,,16 ,14 , 17,,19 ,17 , 21,,22 ,20 , 24,,26 ,24 , 29,,31 ,28 , 33,,34 ,31 , 37,,41 ,37 , 44,,46 ,42 , 50,,51 ,47 , 56,,56 ,50 , 60,,62 ,56 , 67,,67 ,60 , 73,,72 ,65 , 78,,77 ,69 , 84,
Netherlands,65 ,59 , 71,,68 ,61 , 74,,70 ,64 , 77,,74 ,67 , 80,,77 ,70 , 84,,80 ,72 , 87,,82 ,74 , 89,,84 ,76 , 91,,85 ,77 , 93,,87 ,78 , 95,,87 ,78 , 96,,87 ,77 , 97,,88 ,77 , 98,,89 ,77 , >98,,... ,... , ...,
New Zealand,53 ,44 , 60,"Children estimates were not available at the time of publication.",57 ,47 , 64,"Children estimates were not available at the time of publication.",58 ,48 , 65,"Children estimates were not available at the time of publication.",59 ,50 , 66,"Children estimates were not available at the time of publication.",62 ,52 , 70,"Children estimates were not available at the time of publication.",65 ,55 , 73,"Children estimates were not available at the time of publication.",68 ,58 , 77,"Children estimates were not available at the time of publication.",71 ,60 , 80,"Children estimates were not available at the time of publication.",74 ,63 , 83,"Children estimates were not available at the time of publication.",74 ,62 , 83,"Children estimates were not available at the time of publication.",75 ,63 , 85,"Children estimates were not available at the time of publication.",77 ,64 , 87,"Children estimates were not available at the time of publication.",77 ,65 , 88,"Children estimates were not available at the time of publication.",83 ,70 , 94,"Children estimates were not available at the time of publication.",84 ,71 , 95,"Children estimates were not available at the time of publication."
Nicaragua,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Niger,19 ,17 , 22,,26 ,23 , 29,,31 ,28 , 35,,34 ,31 , 39,,33 ,29 , 37,,38 ,34 , 43,,44 ,40 , 50,,53 ,48 , 60,,61 ,54 , 69,,63 ,57 , 71,,66 ,59 , 74,,68 ,61 , 77,,69 ,61 , 78,,69 ,61 , 78,,66 ,59 , 75,
Nigeria,18 ,16 , 19,,20 ,19 , 22,,26 ,24 , 28,,31 ,29 , 34,,35 ,33 , 38,,38 ,36 , 42,,43 ,41 , 48,,46 ,43 , 51,,47 ,44 , 51,,53 ,49 , 58,,59 ,55 , 64,,65 ,60 , 71,,71 ,66 , 78,,77 ,71 , 84,,83 ,76 , 91,
North Macedonia,22 ,17 , 26,"Children estimates were not available at the time of publication.",23 ,19 , 28,"Children estimates were not available at the time of publication.",26 ,22 , 31,"Children estimates were not available at the time of publication.",28 ,24 , 33,"Children estimates were not available at the time of publication.",30 ,26 , 35,"Children estimates were not available at the time of publication.",37 ,32 , 43,"Children estimates were not available at the time of publication.",41 ,36 , 48,"Children estimates were not available at the time of publication.",44 ,38 , 50,"Children estimates were not available at the time of publication.",48 ,42 , 57,"Children estimates were not available at the time of publication.",49 ,43 , 58,"Children estimates were not available at the time of publication.",53 ,46 , 63,"Children estimates were not available at the time of publication.",52 ,45 , 64,"Children estimates were not available at the time of publication.",53 ,45 , 65,"Children estimates were not available at the time of publication.",56 ,46 , 69,"Children estimates were not available at the time of publication.",59 ,47 , 72,"Children estimates were not available at the time of publication."
Norway,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Oman,36 ,34 , 39,"Children estimates were not available at the time of publication.",33 ,31 , 36,"Children estimates were not available at the time of publication.",32 ,30 , 35,"Children estimates were not available at the time of publication.",35 ,33 , 38,"Children estimates were not available at the time of publication.",36 ,34 , 39,"Children estimates were not available at the time of publication.",34 ,32 , 37,"Children estimates were not available at the time of publication.",38 ,35 , 41,"Children estimates were not available at the time of publication.",41 ,39 , 45,"Children estimates were not available at the time of publication.",46 ,43 , 50,"Children estimates were not available at the time of publication.",54 ,50 , 58,"Children estimates were not available at the time of publication.",55 ,51 , 59,"Children estimates were not available at the time of publication.",60 ,56 , 66,"Children estimates were not available at the time of publication.",60 ,56 , 66,"Children estimates were not available at the time of publication.",64 ,59 , 70,"Children estimates were not available at the time of publication.",68 ,62 , 74,"Children estimates were not available at the time of publication."
Pakistan,2 ,2 , 3,,2 ,2 , 2,,3 ,3 , 3,,3 ,2 , 3,,4 ,3 , 4,,4 ,4 , 5,,5 ,5 , 6,,7 ,6 , 7,,8 ,7 , 9,,11 ,10 , 12,,10 ,9 , 11,,10 ,9 , 11,,12 ,11 , 13,,14 ,13 , 15,,16 ,15 , 17,
Panama,29 ,26 , 31,,31 ,29 , 34,,33 ,30 , 35,,38 ,35 , 40,,40 ,37 , 43,,42 ,39 , 45,,48 ,45 , 52,,53 ,48 , 57,,52 ,48 , 57,,53 ,49 , 58,,52 ,48 , 57,,52 ,47 , 57,,65 ,59 , 72,,67 ,60 , 74,,67 ,60 , 74,
Papua New Guinea,14 ,12 , 16,,16 ,14 , 19,,19 ,17 , 22,,23 ,20 , 26,,27 ,24 , 31,,30 ,26 , 34,,32 ,28 , 36,,33 ,30 , 38,,35 ,31 , 40,,36 ,32 , 41,,38 ,34 , 43,,39 ,35 , 44,,42 ,37 , 47,,44 ,39 , 50,,46 ,41 , 53,
Paraguay,26 ,24 , 28,,26 ,24 , 27,,27 ,25 , 29,,30 ,28 , 32,,33 ,30 , 35,,35 ,33 , 37,,39 ,37 , 42,,45 ,42 , 48,,47 ,43 , 50,,50 ,46 , 53,,49 ,45 , 52,,52 ,48 , 56,,56 ,51 , 59,,58 ,53 , 62,,58 ,53 , 63,
Peru,30 ,27 , 35,,32 ,28 , 37,,39 ,35 , 45,,39 ,35 , 45,,44 ,39 , 51,,44 ,39 , 52,,52 ,47 , 61,,56 ,50 , 65,,62 ,55 , 71,,68 ,60 , 78,,69 ,61 , 79,,73 ,64 , 84,,77 ,68 , 88,,76 ,67 , 87,,80 ,70 , 93,
Philippines,5 ,5 , 6,,7 ,6 , 8,,8 ,7 , 9,,14 ,11 , 16,,18 ,15 , 20,,23 ,19 , 26,,27 ,23 , 31,,31 ,26 , 36,,36 ,30 , 42,,40 ,33 , 47,,38 ,32 , 45,,39 ,33 , 45,,41 ,34 , 48,,40 ,33 , 46,,40 ,34 , 47,
Poland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Portugal,51 ,45 , 55,,55 ,49 , 60,,59 ,53 , 64,,63 ,57 , 69,,67 ,60 , 73,,70 ,63 , 76,,73 ,65 , 80,,82 ,74 , 90,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Qatar,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",56 ,43 , 71,"Children estimates were not available at the time of publication.",48 ,38 , 57,"Children estimates were not available at the time of publication.",44 ,35 , 51,"Children estimates were not available at the time of publication.",44 ,35 , 51,"Children estimates were not available at the time of publication.",44 ,35 , 51,"Children estimates were not available at the time of publication.",46 ,36 , 54,"Children estimates were not available at the time of publication.",49 ,39 , 57,"Children estimates were not available at the time of publication.",46 ,37 , 55,"Children estimates were not available at the time of publication.",46 ,36 , 55,"Children estimates were not available at the time of publication.",46 ,36 , 55,"Children estimates were not available at the time of publication."
Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Republic of Moldova,7 ,6 , 8,,9 ,8 , 11,,11 ,9 , 13,,14 ,11 , 16,,17 ,14 , 20,,21 ,18 , 25,,25 ,21 , 29,,29 ,24 , 34,,33 ,28 , 39,,38 ,32 , 45,,39 ,33 , 46,,42 ,35 , 49,,46 ,38 , 54,,50 ,42 , 59,,53 ,45 , 63,
Romania,52 ,48 , 55,,53 ,48 , 56,,54 ,49 , 58,,59 ,54 , 64,,62 ,57 , 68,,67 ,61 , 73,,68 ,62 , 75,,71 ,64 , 78,,73 ,66 , 80,,76 ,68 , 84,,76 ,68 , 84,,78 ,69 , 87,,79 ,70 , 89,,82 ,73 , 93,,89 ,79 , >98,
Russian Federation,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Rwanda,37 ,35 , 40,,41 ,39 , 45,,47 ,44 , 52,,52 ,49 , 58,,58 ,55 , 64,,64 ,60 , 71,,71 ,67 , 80,,74 ,70 , 84,,77 ,72 , 88,,80 ,75 , 92,,84 ,78 , 96,,87 ,80 , >98,,89 ,83 , >98,,93 ,86 , >98,,96 ,89 , >98,
Saint Kitts and Nevis,23 ,20 , 25,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",23 ,20 , 25,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",26 ,23 , 28,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",33 ,29 , 36,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",40 ,36 , 45,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",38 ,33 , 42,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",40 ,35 , 45,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",40 ,35 , 45,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",41 ,36 , 46,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",41 ,35 , 46,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",53 ,46 , 59,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",54 ,46 , 60,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",57 ,49 , 65,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",60 ,50 , 68,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",61 ,52 , 70,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Saint Lucia,37 ,33 , 41,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",41 ,36 , 45,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",37 ,34 , 41,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",38 ,34 , 43,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",45 ,40 , 50,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",44 ,39 , 50,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",48 ,43 , 54,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",47 ,42 , 54,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",54 ,48 , 62,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",58 ,50 , 66,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",58 ,51 , 67,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",43 ,37 , 50,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",46 ,40 , 53,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",41 ,35 , 47,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",43 ,37 , 50,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Saint Vincent and the Grenadines,31 ,29 , 34,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",35 ,32 , 38,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",38 ,35 , 41,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",45 ,41 , 48,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",43 ,39 , 46,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",49 ,44 , 53,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",50 ,46 , 55,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",54 ,49 , 59,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",54 ,48 , 59,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",60 ,53 , 66,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",61 ,54 , 68,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",62 ,55 , 70,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",63 ,56 , 71,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",65 ,57 , 74,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",69 ,60 , 79,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Sao Tome and Principe,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Saudi Arabia,39 ,35 , 43,"Children estimates were not available at the time of publication.",40 ,36 , 44,"Children estimates were not available at the time of publication.",41 ,37 , 45,"Children estimates were not available at the time of publication.",43 ,39 , 47,"Children estimates were not available at the time of publication.",49 ,44 , 54,"Children estimates were not available at the time of publication.",58 ,53 , 64,"Children estimates were not available at the time of publication.",69 ,63 , 75,"Children estimates were not available at the time of publication.",74 ,67 , 80,"Children estimates were not available at the time of publication.",79 ,73 , 86,"Children estimates were not available at the time of publication.",87 ,81 , 94,"Children estimates were not available at the time of publication.",88 ,82 , 95,"Children estimates were not available at the time of publication.",88 ,83 , 95,"Children estimates were not available at the time of publication.",90 ,85 , >98,"Children estimates were not available at the time of publication.",91 ,85 , >98,"Children estimates were not available at the time of publication.",93 ,87 , >98,"Children estimates were not available at the time of publication."
Senegal,28 ,27 , 30,,31 ,30 , 33,,29 ,28 , 31,,33 ,32 , 35,,40 ,39 , 43,,46 ,44 , 49,,53 ,51 , 56,,58 ,56 , 62,,66 ,64 , 70,,71 ,69 , 76,,74 ,71 , 78,,75 ,72 , 79,,76 ,73 , 80,,77 ,74 , 81,,79 ,76 , 84,
Serbia,44 ,36 , 50,"Children estimates were not available at the time of publication.",45 ,37 , 51,"Children estimates were not available at the time of publication.",45 ,37 , 52,"Children estimates were not available at the time of publication.",46 ,38 , 53,"Children estimates were not available at the time of publication.",48 ,39 , 54,"Children estimates were not available at the time of publication.",50 ,41 , 57,"Children estimates were not available at the time of publication.",53 ,44 , 60,"Children estimates were not available at the time of publication.",57 ,46 , 64,"Children estimates were not available at the time of publication.",61 ,50 , 70,"Children estimates were not available at the time of publication.",62 ,51 , 71,"Children estimates were not available at the time of publication.",62 ,51 , 71,"Children estimates were not available at the time of publication.",63 ,52 , 72,"Children estimates were not available at the time of publication.",64 ,53 , 73,"Children estimates were not available at the time of publication.",65 ,54 , 75,"Children estimates were not available at the time of publication.",65 ,54 , 75,"Children estimates were not available at the time of publication."
Sierra Leone,9 ,8 , 11,,12 ,11 , 14,,12 ,11 , 14,,13 ,12 , 15,,15 ,14 , 18,,20 ,18 , 23,,25 ,22 , 29,,32 ,28 , 36,,37 ,33 , 43,,43 ,37 , 49,,48 ,41 , 55,,60 ,51 , 70,,70 ,59 , 82,,76 ,64 , 90,,86 ,72 , >98,
Singapore,50 ,44 , 56,"Children estimates were not available at the time of publication.",56 ,48 , 63,"Children estimates were not available at the time of publication.",61 ,52 , 68,"Children estimates were not available at the time of publication.",66 ,56 , 74,"Children estimates were not available at the time of publication.",72 ,61 , 81,"Children estimates were not available at the time of publication.",75 ,63 , 86,"Children estimates were not available at the time of publication.",76 ,63 , 87,"Children estimates were not available at the time of publication.",80 ,66 , 92,"Children estimates were not available at the time of publication.",80 ,67 , 92,"Children estimates were not available at the time of publication.",83 ,69 , 95,"Children estimates were not available at the time of publication.",85 ,70 , >98,"Children estimates were not available at the time of publication.",84 ,70 , 98,"Children estimates were not available at the time of publication.",85 ,70 , >98,"Children estimates were not available at the time of publication.",86 ,70 , >98,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Slovakia,33 ,27 , 39,"Children estimates were not available at the time of publication.",34 ,28 , 40,"Children estimates were not available at the time of publication.",39 ,32 , 46,"Children estimates were not available at the time of publication.",44 ,36 , 52,"Children estimates were not available at the time of publication.",49 ,40 , 58,"Children estimates were not available at the time of publication.",55 ,45 , 66,"Children estimates were not available at the time of publication.",57 ,46 , 67,"Children estimates were not available at the time of publication.",72 ,58 , 84,"Children estimates were not available at the time of publication.",65 ,53 , 76,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
