Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote, 2024,2024_Footnote
Kyrgyzstan,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,103,
Lao People's Democratic Republic,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,48,
Latvia,<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",-14,"Children estimates were not available at the time of publication."
Lebanon,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",...,"Children estimates were not available at the time of publication."
Lesotho,8200 ,7000 , 11 000,,7600 ,6300 , 11 000,,7700 ,6200 , 11 000,,7800 ,6300 , 11 000,,7800 ,6300 , 11 000,,7600 ,6300 , 11 000,,7000 ,5900 , 9300,,6300 ,5400 , 8100,,5600 ,4700 , 7300,,5400 ,4500 , 6900,,5000 ,4200 , 6300,,4600 ,3800 , 5700,,4300 ,3500 , 5300,,4100 ,3400 , 5100,,4000 ,3200 , 4800,,-52,
Liberia,3400 ,2900 , 4100,,3200 ,2700 , 3800,,3200 ,2700 , 3800,,3100 ,2600 , 3700,,3000 ,2600 , 3600,,2900 ,2500 , 3400,,2800 ,2300 , 3300,,2400 ,2000 , 2900,,2000 ,1600 , 2500,,1700 ,1300 , 2300,,1600 ,1200 , 2100,,1300 ,1000 , 1800,,1200 ,880 , 1600,,990 ,750 , 1400,,900 ,680 , 1300,,-74,
Libya,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,145,
Lithuania,<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-51,"Children estimates were not available at the time of publication."
Luxembourg,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-29,"Children estimates were not available at the time of publication."
Madagascar,1300 ,920 , 1900,,1500 ,1000 , 2100,,1700 ,1200 , 2300,,1900 ,1400 , 2500,,2100 ,1600 , 2700,,2300 ,1800 , 2900,,2500 ,1900 , 3100,,2700 ,2100 , 3400,,2800 ,2200 , 3600,,2900 ,2200 , 3800,,3000 ,2300 , 4100,,3100 ,2300 , 4400,,3100 ,2300 , 4400,,3100 ,2200 , 4600,,3100 ,2100 , 4600,,130,
Malawi,38 000 ,34 000 , 45 000,,34 000 ,29 000 , 40 000,,29 000 ,26 000 , 35 000,,26 000 ,23 000 , 31 000,,24 000 ,21 000 , 29 000,,22 000 ,19 000 , 27 000,,22 000 ,19 000 , 26 000,,20 000 ,18 000 , 24 000,,19 000 ,16 000 , 22 000,,17 000 ,15 000 , 20 000,,16 000 ,14 000 , 19 000,,16 000 ,13 000 , 19 000,,15 000 ,13 000 , 18 000,,14 000 ,12 000 , 18 000,,14 000 ,12 000 , 17 000,,-64,
Malaysia,3500 ,2900 , 4000,,3600 ,3000 , 4200,,3800 ,3100 , 4400,,3800 ,3300 , 4400,,3600 ,3100 , 4200,,3300 ,2800 , 3800,,2800 ,2400 , 3200,,2300 ,1900 , 2800,,2300 ,1900 , 2800,,2300 ,1800 , 2800,,2200 ,1800 , 2700,,2100 ,1700 , 2700,,2300 ,1800 , 2900,,2300 ,1800 , 2900,,2200 ,1700 , 2800,,-36,
Maldives,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",295,"Children estimates were not available at the time of publication."
Mali,5500 ,4400 , 7000,,5200 ,4100 , 6800,,5200 ,4100 , 7000,,5600 ,4500 , 7400,,5800 ,4700 , 7700,,5600 ,4600 , 7500,,5400 ,4400 , 7400,,5300 ,4300 , 7300,,5100 ,4100 , 7100,,5100 ,4000 , 7000,,4900 ,3800 , 6800,,4500 ,3400 , 6300,,4400 ,3300 , 6200,,3800 ,2800 , 5500,,3200 ,2400 , 4900,,-41,
Malta,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-28,"Children estimates were not available at the time of publication."
Mauritania,630 ,510 , 760,,630 ,520 , 760,,630 ,520 , 760,,620 ,510 , 750,,570 ,<500 , 700,,530 ,<500 , 650,,<500 ,<500 , 620,,<500 ,<500 , 560,,<500 ,<500 , 500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,-71,
Mauritius,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Mexico,4700 ,3600 , 5600,,4900 ,3800 , 5900,,4800 ,3700 , 5800,,4800 ,3600 , 5800,,4900 ,3700 , 6000,,4800 ,3700 , 5800,,4600 ,3500 , 5600,,5000 ,3700 , 6000,,5000 ,3800 , 6100,,4900 ,3600 , 6000,,4800 ,3600 , 5900,,4200 ,3200 , 5300,,4100 ,3000 , 5300,,4400 ,3200 , 5700,,4400 ,3200 , 5800,,-5,
Mongolia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",33,"Children estimates were not available at the time of publication."
Montenegro,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",125,"Children estimates were not available at the time of publication."
Morocco,920 ,760 , 1100,,930 ,760 , 1100,,870 ,710 , 1100,,800 ,640 , 980,,750 ,590 , 920,,750 ,590 , 920,,750 ,600 , 950,,760 ,600 , 950,,750 ,590 , 930,,720 ,570 , 900,,700 ,540 , 870,,610 ,<500 , 760,,<500 ,<500 , 610,,<500 ,<500 , 560,,<500 ,<500 , 540,,-55,
Mozambique,73 000 ,65 000 , 87 000,,72 000 ,64 000 , 85 000,,74 000 ,66 000 , 88 000,,72 000 ,64 000 , 84 000,,63 000 ,56 000 , 74 000,,55 000 ,49 000 , 65 000,,51 000 ,45 000 , 60 000,,49 000 ,43 000 , 57 000,,47 000 ,41 000 , 55 000,,49 000 ,42 000 , 58 000,,50 000 ,43 000 , 59 000,,50 000 ,43 000 , 58 000,,49 000 ,42 000 , 56 000,,46 000 ,40 000 , 54 000,,44 000 ,37 000 , 52 000,,-40,
Myanmar,12 000 ,11 000 , 14 000,,12 000 ,11 000 , 14 000,,11 000 ,10 000 , 13 000,,11 000 ,9300 , 12 000,,10 000 ,8500 , 12 000,,9400 ,7700 , 11 000,,8700 ,6900 , 11 000,,8100 ,6000 , 11 000,,7700 ,5500 , 10 000,,7300 ,4700 , 10 000,,6800 ,4000 , 10 000,,6300 ,3500 , 9700,,6400 ,3100 , 10 000,,6500 ,2700 , 11 000,,6200 ,2200 , 10 000,,-50,
Namibia,4200 ,3600 , 5200,,4000 ,3500 , 4800,,3900 ,3400 , 4700,,3700 ,3200 , 4400,,3400 ,2800 , 4200,,3800 ,3200 , 4800,,3900 ,3300 , 4900,,4200 ,3500 , 5200,,4100 ,3400 , 4900,,3900 ,3300 , 4700,,3700 ,3100 , 4400,,3500 ,2900 , 4200,,3300 ,2800 , 4000,,3300 ,2700 , 4000,,3200 ,2600 , 3800,,-24,
Nepal,2400 ,2000 , 2700,,2300 ,2000 , 2700,,2300 ,2000 , 2600,,2200 ,1900 , 2600,,2200 ,1900 , 2500,,2000 ,1800 , 2400,,2000 ,1700 , 2200,,1800 ,1600 , 2100,,1600 ,1400 , 1900,,1400 ,1200 , 1700,,1300 ,1100 , 1500,,1100 ,910 , 1300,,880 ,740 , 1100,,720 ,610 , 870,,580 ,<500 , 710,,-76,
Netherlands,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,... ,... , ...,,...,
New Zealand,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-32,"Children estimates were not available at the time of publication."
Nicaragua,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Niger,2200 ,1800 , 2600,,2000 ,1600 , 2500,,1800 ,1400 , 2200,,1800 ,1400 , 2100,,1800 ,1400 , 2200,,1900 ,1500 , 2300,,1700 ,1300 , 2000,,1500 ,1300 , 1800,,1400 ,1100 , 1700,,1200 ,1000 , 1500,,1200 ,950 , 1400,,1200 ,930 , 1400,,1100 ,900 , 1300,,1000 ,820 , 1300,,980 ,770 , 1200,,-55,
Nigeria,100 000 ,88 000 , 130 000,,100 000 ,90 000 , 130 000,,97 000 ,84 000 , 120 000,,87 000 ,74 000 , 110 000,,80 000 ,67 000 , 100 000,,77 000 ,64 000 , 99 000,,74 000 ,61 000 , 95 000,,71 000 ,58 000 , 92 000,,73 000 ,59 000 , 94 000,,72 000 ,58 000 , 93 000,,64 000 ,53 000 , 84 000,,57 000 ,47 000 , 75 000,,51 000 ,42 000 , 67 000,,46 000 ,38 000 , 59 000,,42 000 ,34 000 , 53 000,,-58,
North Macedonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",150,"Children estimates were not available at the time of publication."
Norway,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",-15,"Children estimates were not available at the time of publication."
Oman,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",25,"Children estimates were not available at the time of publication."
Pakistan,2200 ,1800 , 2700,,3000 ,2500 , 3600,,3900 ,3200 , 4500,,4700 ,4000 , 5500,,5700 ,4800 , 6600,,6600 ,5600 , 7500,,7500 ,6400 , 8500,,8300 ,7200 , 9400,,9000 ,7900 , 10 000,,9700 ,8500 , 11 000,,11 000 ,9500 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,11 000 , 14 000,,13 000 ,12 000 , 15 000,,14 000 ,12 000 , 16 000,,524,
Panama,<500 ,<500 , 550,,<500 ,<500 , 590,,520 ,<500 , 620,,520 ,<500 , 620,,<500 ,<500 , 580,,<500 ,<500 , 590,,<500 ,<500 , 570,,<500 ,<500 , 520,,<500 ,<500 , 530,,<500 ,<500 , 600,,580 ,<500 , 710,,650 ,510 , 780,,530 ,<500 , 620,,<500 ,<500 , <500,,<500 ,<500 , <500,,-20,
Papua New Guinea,2500 ,2000 , 3300,,2700 ,2200 , 3500,,2800 ,2300 , 3600,,2800 ,2300 , 3500,,2700 ,2200 , 3400,,2700 ,2200 , 3400,,2800 ,2300 , 3600,,3000 ,2500 , 3700,,3200 ,2600 , 3900,,3300 ,2700 , 4000,,3400 ,2800 , 4200,,3600 ,2900 , 4400,,3600 ,3000 , 4400,,3500 ,2900 , 4200,,3400 ,2900 , 4200,,35,
Paraguay,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,102,
Peru,2100 ,1600 , 2900,,1700 ,1300 , 2400,,1700 ,1200 , 2400,,1700 ,1200 , 2400,,1800 ,1200 , 2500,,1800 ,1200 , 2500,,1700 ,1200 , 2300,,1400 ,950 , 1900,,1200 ,830 , 1600,,980 ,700 , 1400,,900 ,640 , 1300,,900 ,650 , 1300,,890 ,640 , 1300,,860 ,610 , 1300,,870 ,620 , 1300,,-59,
Philippines,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , 580,,560 ,<500 , 670,,570 ,<500 , 690,,600 ,<500 , 730,,650 ,<500 , 820,,740 ,560 , 960,,830 ,590 , 1100,,940 ,650 , 1200,,1100 ,730 , 1500,,1300 ,900 , 1800,,1600 ,1100 , 2200,,1900 ,1300 , 2600,,2300 ,1500 , 3200,,577,
Poland,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Portugal,800 ,600 , 980,,690 ,520 , 840,,590 ,<500 , 720,,530 ,<500 , 640,,<500 ,<500 , 570,,<500 ,<500 , 520,,<500 ,<500 , 510,,<500 ,<500 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <200,,<200 ,<200 , <200,,-82,
Qatar,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",124,"Children estimates were not available at the time of publication."
Republic of Korea,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",...,"Estimates were not available at the time of publication."
Republic of Moldova,1100 ,750 , 1600,,1100 ,750 , 1600,,1100 ,740 , 1500,,1100 ,720 , 1500,,1000 ,700 , 1500,,980 ,660 , 1400,,930 ,620 , 1300,,870 ,580 , 1200,,800 ,530 , 1100,,730 ,<500 , 1000,,720 ,<500 , 1000,,710 ,<500 , 1000,,640 ,<500 , 900,,560 ,<500 , 780,,<500 ,<500 , 700,,-55,
Romania,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<100 , <200,,-53,
